Coeffs,PGA,PGV,T=0.2s,T=1.0s
a1,1.875,6.244,2.623,1.093
a2,-1.186,-1.019,-1.15,-0.888
a3,0.27,0.27,0.27,0.27
a4,-0.231,-0.231,-0.231,-0.231
a5,-0.506,-0.506,-0.506,-0.506
a6,1.627,2.025,1.591,2.332
a7,-0.00259,0.0004,-0.00397,0.00222
a7m,-0.0002,-0.00017,-0.00032,-0.0006
a8,-0.1055,-0.1954,-0.1092,-0.2027
a9,-0.0895,-0.2538,-0.0897,-0.2888
a10,0.1297,0.0737,0.1297,0.0643
a11,0.0111,0.0066,0.0111,0.009
c1,-0.531,-0.699,-0.604,-0.93
c2,-0.1187,-0.0391,-0.2262,-0.0691
c3,-0.00738,-0.00872,-0.00629,-0.00868
c4,0.12,5,0.244,0.064
Vc,1418,1300,1256,862
c5,0.00725,0.03397,0.00332,0.06699
h,6.5,6.5,6.5,6.5
M1,6.75,6.75,6.75,6.75
M2,5,5,5,5
